osm_index,park_id,park_name,osm_id,osm_name,fclass,source_layer,geometry_type,distance_m,point_inside,area_m2,name_score,spatial_score,fclass_score,total_score,rank,score_margin
1569,7,진관근린공원(구파발폭포),545681599,마고정근린공원,park,landuse,Polygon,414.7,False,4536.03,40.0,60,30,130.0,1,18.82
3341,7,진관근린공원(구파발폭포),1187795592,탑골생태공원,park,landuse,Polygon,427.69,False,18024.66,21.18,60,30,111.18,2,18.82
1571,7,진관근린공원(구파발폭포),545767590,신도 근린 공원,park,landuse,Polygon,1009.92,False,8799.4,42.35,10,30,82.35,3,18.82
1570,7,진관근린공원(구파발폭포),545685206,금암문화공원,park,landuse,Polygon,768.18,False,5956.12,21.18,30,30,81.18,4,18.82
1582,7,진관근린공원(구파발폭포),545859939,기자촌1구역근린공원,park,landuse,Polygon,1237.55,False,42570.13,34.29,10,30,74.29,5,18.82
1583,7,진관근린공원(구파발폭포),545862611,기자촌2구역근린공원,park,landuse,Polygon,1257.41,False,42446.56,34.29,10,30,74.29,6,18.82
626,7,진관근린공원(구파발폭포),462633576,박석어린이 공원,park,landuse,Polygon,1300.0,False,793.65,30.0,10,30,70.0,7,18.82
3459,7,진관근린공원(구파발폭포),1277706982,지축마루어린이공원,park,landuse,Polygon,1023.31,False,1343.13,27.0,10,30,67.0,8,18.82
598,7,진관근린공원(구파발폭포),445144708,갈곡리 공원,park,landuse,Polygon,1434.96,False,1291.29,22.5,10,30,62.5,9,18.82
1872,7,진관근린공원(구파발폭포),634086096,연신어린이공원,park,landuse,Polygon,1957.97,False,1320.34,30.0,0,30,60.0,10,18.82
221,28,개웅산근린공원,250367011,개웅어린이공원,park,landuse,Polygon,388.27,False,1906.38,100.0,60,30,190.0,1,78.57
220,28,개웅산근린공원,250367008,너부대근린공원,park,landuse,Polygon,893.81,False,30906.89,51.43,30,30,111.43,2,78.57
859,28,개웅산근린공원,468987808,,park,landuse,Polygon,145.74,False,428.47,0.0,80,30,110.0,3,78.57
858,28,개웅산근린공원,468987805,,park,landuse,Polygon,235.03,False,311.97,0.0,80,30,110.0,4,78.57
860,28,개웅산근린공원,468997228,연지근린공원,park,landuse,Polygon,1328.7,False,53170.61,55.38,10,30,95.38,5,78.57
2222,28,개웅산근린공원,742756292,천왕 근린공원,park,landuse,Polygon,1463.32,False,35306.61,55.38,10,30,95.38,6,78.57
243,28,개웅산근린공원,262789356,현충근린공원,park,landuse,Polygon,1485.78,False,26788.02,55.38,10,30,95.38,7,78.57
1188,28,개웅산근린공원,472157256,다솜공원,park,landuse,Polygon,854.17,False,721.51,32.73,30,30,92.73,8,78.57
874,28,개웅산근린공원,469038631,중앙공원,park,landuse,Polygon,917.21,False,4842.4,32.73,30,30,92.73,9,78.57
2678,28,개웅산근린공원,881262241,오류역 문화공원,park,landuse,Polygon,645.38,False,8004.69,25.71,30,30,85.71,10,78.57
357,45,도곡근린공원,369972508,도곡근린공원,park,landuse,Polygon,0.0,True,306009.13,150.0,120,30,300.0,1,140.0
843,45,도곡근린공원,468971649,도곡까치공원,park,landuse,Polygon,763.13,False,1826.47,100.0,30,30,160.0,2,140.0
1875,45,도곡근린공원,636207734,도곡햇살공원,park,landuse,Polygon,883.21,False,556.79,100.0,30,30,160.0,3,140.0
499,45,도곡근린공원,417923176,길섶근린공원,park,landuse,Polygon,846.65,False,1609.77,60.0,30,30,120.0,4,140.0
500,45,도곡근린공원,417923177,보은근린공원,park,landuse,Polygon,865.19,False,1988.5,60.0,30,30,120.0,5,140.0
2502,45,도곡근린공원,803204155,영동근린공원,park,landuse,Polygon,890.55,False,1930.45,60.0,30,30,120.0,6,140.0
212,45,도곡근린공원,243543811,달터근린공원,park,landuse,Polygon,915.34,False,117904.04,60.0,30,30,120.0,7,140.0
340,45,도곡근린공원,350154345,포이근린공원,park,landuse,Polygon,1049.18,False,4114.06,60.0,10,30,100.0,8,140.0
368,45,도곡근린공원,370389785,독골공원,park,landuse,Polygon,551.34,False,9648.34,36.0,30,30,96.0,9,140.0
502,45,도곡근린공원,417970393,목련공원,park,landuse,Polygon,574.57,False,2053.56,36.0,30,30,96.0,10,140.0
838,63,온수도시자연공원,468968972,온수도시자연공원,park,landuse,Polygon,1185.86,False,7079.16,150.0,10,30,190.0,1,50.0
842,63,온수도시자연공원,468970750,온수힐스테이트 공원,park,landuse,Polygon,1359.83,False,2322.69,100.0,10,30,140.0,2,50.0
3345,63,온수도시자연공원,1188029709,잣절공원,park,landuse,Polygon,261.92,False,5159.97,30.0,80,30,140.0,3,50.0
712,63,온수도시자연공원,465717153,궁동저수지 생태공원,park,landuse,Polygon,655.48,False,19154.99,31.76,30,30,91.76,4,50.0
2183,63,온수도시자연공원,725217531,우신빌라 공원,park,landuse,Polygon,895.03,False,9061.46,25.71,30,30,85.71,5,50.0
2678,63,온수도시자연공원,881262241,오류역 문화공원,park,landuse,Polygon,927.45,False,8004.69,24.0,30,30,84.0,6,50.0
2142,63,온수도시자연공원,704782047,오류동역 광장공원,park,landuse,Polygon,823.6,False,9472.96,22.5,30,30,82.5,7,50.0
1790,63,온수도시자연공원,8463740,연의생태공원,park,landuse,Polygon,1281.86,False,13512.62,38.57,10,30,78.57,8,50.0
841,63,온수도시자연공원,468970739,갈매공원,park,landuse,Polygon,1259.88,False,2174.5,30.0,10,30,70.0,9,50.0
219,63,온수도시자연공원,250171546,근린공원,park,landuse,Polygon,1346.86,False,18612.61,30.0,10,30,70.0,10,50.0
305,90,서울창포원,303964376,서울창포원,park,landuse,Polygon,0.0,True,61674.15,150.0,120,30,300.0,1,175.0
2891,90,서울창포원,986892844,다락원 체육공원,park,landuse,Polygon,148.37,False,44991.76,15.0,80,30,125.0,2,175.0
2000,90,서울창포원,667507522,수락리버시티공원,park,landuse,Polygon,377.76,False,21705.17,13.85,60,30,103.85,3,175.0
3881,90,서울창포원,723160225,서울YMCA 다락원캠프장,camp_site,pois,Polygon,924.47,False,20966.69,31.76,30,15,76.76,4,175.0
3498,90,서울창포원,1309072756,,park,landuse,Polygon,519.6,False,658.17,0.0,30,30,60.0,5,175.0
3499,90,서울창포원,1309072768,,park,landuse,Polygon,585.68,False,65.11,0.0,30,30,60.0,6,175.0
1999,90,서울창포원,667507521,수락산광장,park,landuse,Polygon,675.94,False,18744.49,0.0,30,30,60.0,7,175.0
3919,90,서울창포원,17336247,,national_park,protected_areas,Polygon,709.57,False,76757613.22,0.0,30,30,60.0,8,175.0
2171,90,서울창포원,724284515,,park,landuse,Polygon,800.4,False,61543.96,0.0,30,30,60.0,9,175.0
2723,90,서울창포원,893184368,,park,landuse,Polygon,890.42,False,550.8,0.0,30,30,60.0,10,175.0
1557,93,중랑캠핑숲,544146098,중랑캠핑숲,park,landuse,Polygon,0.0,True,189268.73,150.0,120,30,300.0,1,190.0
3020,93,중랑캠핑숲,1024426517,,park,landuse,Polygon,106.17,False,7095.69,0.0,80,30,110.0,2,190.0
2337,93,중랑캠핑숲,761537051,동원마을마당,park,landuse,Polygon,350.11,False,1235.15,0.0,60,30,90.0,3,190.0
3695,93,중랑캠핑숲,1426815985,망우리공원,park,landuse,Polygon,395.7,False,157.68,0.0,60,30,90.0,4,190.0
3350,93,중랑캠핑숲,1188981840,,park,landuse,Polygon,434.84,False,461.51,0.0,60,30,90.0,5,190.0
2309,93,중랑캠핑숲,761518431,망우리 역사문화공원,park,landuse,Polygon,542.53,False,28156.47,0.0,30,30,60.0,6,190.0
3131,93,중랑캠핑숲,1077211601,망우동어린이공원,park,landuse,Polygon,544.93,False,2531.03,0.0,30,30,60.0,7,190.0
