park_id,park_name,geometry_source,match_method,polygon_count,source_ids,source_names,note,geometry_type,area_m2
1,남산공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0012,도시자연공원(남산),자동 매칭 high,MultiPolygon,3120134.48
2,길동생태공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0016,도시자연공원((일자산)<길동생태공원>),자동 매칭 high,Polygon,69040.19
3,서울대공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0041,근린공원(서울대공원),자동 매칭 high,Polygon,6417567.05
4,서울숲,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0035,근린공원(서울숲),자동 매칭 high,MultiPolygon,247151.98
5,월드컵공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0038,근린공원(월드컵),자동 매칭 high,Polygon,1548922.7
6,광화문시민열린마당,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0010,광장(광화문열린마당),자동 매칭 high,Polygon,8945.98
8,중마루근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0014,근린공원(중마루),자동 매칭 high,Polygon,6014.03
10,매화근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0013,근린공원(매화),자동 매칭 high,Polygon,1940.6
11,성수근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0019,근린공원(성수),자동 매칭 high,Polygon,5117.29
12,샛마을근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0024,근린공원(샛마을),자동 매칭 high,Polygon,12043.24
13,여의도근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0008,근린공원(여의도),자동 매칭 high,Polygon,226219.96
14,간데메근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0020,근린공원(간데메),자동 매칭 high,Polygon,15104.17
15,훈련원근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0039,근린공원(훈련원),자동 매칭 high,Polygon,16949.98
16,영등포근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0017,근린공원(영등포),자동 매칭 high,Polygon,61689.46
17,보라매공원,seoul_shapefile,manual_single_polygon,1,생활서비스시설_공원_1879,근린공원(보라매),보라매공원 후보 2개가 약 97% 겹쳐 자동 1위 Polygon을 대표로 사용,Polygon,428118.49
18,어린이대공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0044,근린공원(어린이대공원),자동 매칭 high,Polygon,607244.26
19,천호근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0021,근린공원(천호),자동 매칭 high,Polygon,26900.07
20,용산가족공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0004,기타공원(용산공원),자동 매칭 high,Polygon,82343.14
21,독립근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0026,근린공원(독립),자동 매칭 high,Polygon,108922.08
22,낙산근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0011,근린공원(낙산),자동 매칭 high,MultiPolygon,155315.83
23,매헌시민의숲,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0007,근린공원(시민의숲),자동 매칭 high,MultiPolygon,263364.23
24,관악산공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1414,도시자연공원(관악산<시공원>),자동 매칭 high,MultiPolygon,11816655.17
25,효창근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0166,근린공원(효창<시공원>),자동 매칭 high,Polygon,160488.89
27,개운산근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0486,근린공원(개운산<시공원>),자동 매칭 high,Polygon,268021.97
29,경희궁,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0068,근린공원(경희궁<시공원>),자동 매칭 high,Polygon,100590.68
30,국립서울현충원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1350,묘지공원(현충<시공원>),자동 매칭 high,MultiPolygon,2275446.89
31,계남근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1028,근린공원(계남<시공원>),자동 매칭 high,Polygon,474026.35
32,고척근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1195,근린공원(고척<시공원>),자동 매칭 high,Polygon,109063.04
33,파리근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1029,근린공원(빠리),자동 매칭 high,Polygon,29423.3
34,허준공원,seoul_shapefile,manual_alias,1,생활서비스시설_공원_1144,근린공원(구암),허준공원은 구암근린공원의 다른 명칭으로 확인하여 Polygon 매칭,Polygon,29954.53
35,궁동근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0845,근린공원(궁동<시공원>),자동 매칭 high,Polygon,152767.85
36,궁산근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1128,근린공원(궁산<시공원>),자동 매칭 high,Polygon,133383.19
37,까치산근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1352,근린공원(까치산<시공원>),자동 매칭 high,Polygon,405054.09
38,꿩고개근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1123,근린공원(꿩고개<시공원>),자동 매칭 high,Polygon,247914.4
39,노량진공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1331,근린공원(노량진<시공원>),자동 매칭 high,MultiPolygon,328467.42
40,답십리근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0316,근린공원(답십리<시공원>),자동 매칭 high,Polygon,166347.76
41,대모산도시자연공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1667,도시자연공원((대모산)<시공원>),자동 매칭 high,Polygon,3092860.36
42,탑골근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0088,근린공원(탑골),자동 매칭 high,Polygon,15133.94
43,갈산근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0976,근린공원(칼산<시공원>),자동 매칭 high,Polygon,136703.89
44,천마근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1779,근린공원(천마<시공원>),자동 매칭 high,Polygon,185438.4
46,도산근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1573,근린공원(도산),자동 매칭 high,Polygon,29816.33
47,청량공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0470,근린공원(청량<시공원>),자동 매칭 high,Polygon,750681.01
48,초안산근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0560,근린공원((초안산)<시공원>),자동 매칭 high,Polygon,695884.71
49,동명근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1837,근린공원(동명),자동 매칭 high,MultiPolygon,99568.86
50,마로니에공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_0073,근린공원(마로니에),자동 매칭 high,Polygon,6417.54
51,자매근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1293,근린공원(자매),자동 매칭 high,Polygon,16391.22
52,장지근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1726,근린공원(장지<시공원>),자동 매칭 high,MultiPolygon,697890.78
53,명일근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1818,근린공원(명일<시공원>),자동 매칭 high,MultiPolygon,651948.59
54,방화근린공원,seoul_shapefile,automatic_high,1,생활서비스시설_공원_1127,근린공원(방화),자동 매칭 high,Polygon,72175.73
