park_id,park_name,match_status,match_method,polygon_count,polygon_ids,polygon_labels,note
1,남산공원,matched,automatic_high,1,생활서비스시설_공원_0012,도시자연공원(남산),자동 매칭 high
2,길동생태공원,matched,automatic_high,1,생활서비스시설_공원_0016,도시자연공원((일자산)<길동생태공원>),자동 매칭 high
3,서울대공원,matched,automatic_high,1,생활서비스시설_공원_0041,근린공원(서울대공원),자동 매칭 high
4,서울숲,matched,automatic_high,1,생활서비스시설_공원_0035,근린공원(서울숲),자동 매칭 high
5,월드컵공원,matched,automatic_high,1,생활서비스시설_공원_0038,근린공원(월드컵),자동 매칭 high
6,광화문시민열린마당,matched,automatic_high,1,생활서비스시설_공원_0010,광장(광화문열린마당),자동 매칭 high
7,진관근린공원(구파발폭포),no_match,automatic_unmatched,0,,,자동 매칭 단계에서 신뢰할 수 있는 Polygon 후보를 찾지 못함
8,중마루근린공원,matched,automatic_high,1,생활서비스시설_공원_0014,근린공원(중마루),자동 매칭 high
9,응봉공원 (대현산배수지공원),matched,automatic_high,1,생활서비스시설_공원_0022,근린공원((응봉)),자동 매칭 high
10,매화근린공원,matched,automatic_high,1,생활서비스시설_공원_0013,근린공원(매화),자동 매칭 high
11,성수근린공원,matched,automatic_high,1,생활서비스시설_공원_0019,근린공원(성수),자동 매칭 high
12,샛마을근린공원,matched,automatic_high,1,생활서비스시설_공원_0024,근린공원(샛마을),자동 매칭 high
13,여의도근린공원,matched,automatic_high,1,생활서비스시설_공원_0008,근린공원(여의도),자동 매칭 high
14,간데메근린공원,matched,automatic_high,1,생활서비스시설_공원_0020,근린공원(간데메),자동 매칭 high
15,훈련원근린공원,matched,automatic_high,1,생활서비스시설_공원_0039,근린공원(훈련원),자동 매칭 high
16,영등포근린공원,matched,automatic_high,1,생활서비스시설_공원_0017,근린공원(영등포),자동 매칭 high
17,보라매공원,matched,manual_single_polygon,1,생활서비스시설_공원_1879,근린공원(보라매),보라매공원 후보 2개가 약 97% 겹쳐 자동 1위 Polygon을 대표로 사용
18,어린이대공원,matched,automatic_high,1,생활서비스시설_공원_0044,근린공원(어린이대공원),자동 매칭 high
19,천호근린공원,matched,automatic_high,1,생활서비스시설_공원_0021,근린공원(천호),자동 매칭 high
20,용산가족공원,matched,automatic_high,1,생활서비스시설_공원_0004,기타공원(용산공원),자동 매칭 high
21,독립근린공원,matched,automatic_high,1,생활서비스시설_공원_0026,근린공원(독립),자동 매칭 high
22,낙산근린공원,matched,automatic_high,1,생활서비스시설_공원_0011,근린공원(낙산),자동 매칭 high
23,매헌시민의숲,matched,automatic_high,1,생활서비스시설_공원_0007,근린공원(시민의숲),자동 매칭 high
24,관악산공원,matched,automatic_high,1,생활서비스시설_공원_1414,도시자연공원(관악산<시공원>),자동 매칭 high
25,효창근린공원,matched,automatic_high,1,생활서비스시설_공원_0166,근린공원(효창<시공원>),자동 매칭 high
26,감로천생태공원(관악산),matched,automatic_high,1,생활서비스시설_공원_1257,도시자연공원((관악산)<시공원>),자동 매칭 high
27,개운산근린공원,matched,automatic_high,1,생활서비스시설_공원_0486,근린공원(개운산<시공원>),자동 매칭 high
28,개웅산근린공원,no_match,manual_no_match,0,,,개웅산근린공원과 어린이공원(개웅)은 규모와 공원 유형이 달라 별개 공원으로 판단
29,경희궁,matched,automatic_high,1,생활서비스시설_공원_0068,근린공원(경희궁<시공원>),자동 매칭 high
30,국립서울현충원,matched,automatic_high,1,생활서비스시설_공원_1350,묘지공원(현충<시공원>),자동 매칭 high
31,계남근린공원,matched,automatic_high,1,생활서비스시설_공원_1028,근린공원(계남<시공원>),자동 매칭 high
32,고척근린공원,matched,automatic_high,1,생활서비스시설_공원_1195,근린공원(고척<시공원>),자동 매칭 high
33,파리근린공원,matched,automatic_high,1,생활서비스시설_공원_1029,근린공원(빠리),자동 매칭 high
34,허준공원,matched,manual_alias,1,생활서비스시설_공원_1144,근린공원(구암),허준공원은 구암근린공원의 다른 명칭으로 확인하여 Polygon 매칭
35,궁동근린공원,matched,automatic_high,1,생활서비스시설_공원_0845,근린공원(궁동<시공원>),자동 매칭 high
36,궁산근린공원,matched,automatic_high,1,생활서비스시설_공원_1128,근린공원(궁산<시공원>),자동 매칭 high
37,까치산근린공원,matched,automatic_high,1,생활서비스시설_공원_1352,근린공원(까치산<시공원>),자동 매칭 high
38,꿩고개근린공원,matched,automatic_high,1,생활서비스시설_공원_1123,근린공원(꿩고개<시공원>),자동 매칭 high
39,노량진공원,matched,automatic_high,1,생활서비스시설_공원_1331,근린공원(노량진<시공원>),자동 매칭 high
40,답십리근린공원,matched,automatic_high,1,생활서비스시설_공원_0316,근린공원(답십리<시공원>),자동 매칭 high
41,대모산도시자연공원,matched,automatic_high,1,생활서비스시설_공원_1667,도시자연공원((대모산)<시공원>),자동 매칭 high
42,탑골근린공원,matched,automatic_high,1,생활서비스시설_공원_0088,근린공원(탑골),자동 매칭 high
43,갈산근린공원,matched,automatic_high,1,생활서비스시설_공원_0976,근린공원(칼산<시공원>),자동 매칭 high
44,천마근린공원,matched,automatic_high,1,생활서비스시설_공원_1779,근린공원(천마<시공원>),자동 매칭 high
45,도곡근린공원,no_match,manual_no_match,0,,,도곡목련·도곡까치 어린이공원은 도곡근린공원과 별개의 공원으로 판단
46,도산근린공원,matched,automatic_high,1,생활서비스시설_공원_1573,근린공원(도산),자동 매칭 high
47,청량공원,matched,automatic_high,1,생활서비스시설_공원_0470,근린공원(청량<시공원>),자동 매칭 high
48,초안산근린공원,matched,automatic_high,1,생활서비스시설_공원_0560,근린공원((초안산)<시공원>),자동 매칭 high
49,동명근린공원,matched,automatic_high,1,생활서비스시설_공원_1837,근린공원(동명),자동 매칭 high
50,마로니에공원,matched,automatic_high,1,생활서비스시설_공원_0073,근린공원(마로니에),자동 매칭 high
51,자매근린공원,matched,automatic_high,1,생활서비스시설_공원_1293,근린공원(자매),자동 매칭 high
52,장지근린공원,matched,automatic_high,1,생활서비스시설_공원_1726,근린공원(장지<시공원>),자동 매칭 high
53,명일근린공원,matched,automatic_high,1,생활서비스시설_공원_1818,근린공원(명일<시공원>),자동 매칭 high
54,방화근린공원,matched,automatic_high,1,생활서비스시설_공원_1127,근린공원(방화),자동 매칭 high
55,아시아근린공원,matched,automatic_high,1,생활서비스시설_공원_1772,근린공원(아시아),자동 매칭 high
56,배봉산근린공원,matched,automatic_high,1,생활서비스시설_공원_0321,근린공원(배봉산<시공원>),자동 매칭 high
57,안산도시자연공원,matched,automatic_high,1,생활서비스시설_공원_0822,도시자연공원(안산<시공원>),자동 매칭 high
