name,opened_at,area,facilities,plants,notes,district,address,department,phone,image,lon,lat,area_size,search_text,is_dog_forbidden,has_dog_park,has_parking,is_hilly,has_restroom,has_store,has_lawn,has_water
남산공원,1968.9.10,2896887㎡ 임 야 : 2454140㎡ 녹지대 및 기타시설 : 442747㎡,기반시설 : 광장 45950㎡ 도로 108530㎡ 산책로 6.7㎞ (북측:3.7㎞/남측:3.0㎞) 조경시설 : 연못 1개소(1078㎡) 파고라 분수대 그늘시렁 운동시설 : 테니스장 야구장 궁도장 배드민턴장 교양시설 : 도서관 야외식물원 안중근의사 기념관 편익시설 : 주차장 매점 음수대 팔각정 화장실 밴치 타워전망대 기타시설 : 순환도로 18.9㎞,소나무 단풍 아카시아 상수리나무 등 191종 2881870주,남산공원 차량통행 금지안내 2005년 5월 1일부터 남산공원에 일반승용차 택시 통행이 금지되었습니다. 남산 서울타워까지 명동 충무로 동대입구역에서 순환버스(020305번)를 이용하세요  ,중구,서울특별시 중구 삼일대로 231(예장동),중부공원여가센터,02-3783-5900,http://parks.seoul.go.kr/file/info/view.do?fIdx=1884,126.9903773,37.5501402,2896887.0,기반시설 : 광장 45950㎡ 도로 108530㎡ 산책로 6.7㎞ (북측:3.7㎞/남측:3.0㎞) 조경시설 : 연못 1개소(1078㎡) 파고라 분수대 그늘시렁 운동시설 : 테니스장 야구장 궁도장 배드민턴장 교양시설 : 도서관 야외식물원 안중근의사 기념관 편익시설 : 주차장 매점 음수대 팔각정 화장실 밴치 타워전망대 기타시설 : 순환도로 18.9㎞ 남산공원 차량통행 금지안내 2005년 5월 1일부터 남산공원에 일반승용차 택시 통행이 금지되었습니다. 남산 서울타워까지 명동 충무로 동대입구역에서 순환버스(020305번)를 이용하세요   소나무 단풍 아카시아 상수리나무 등 191종 2881870주,False,False,True,False,True,True,False,True
길동생태공원,1999.5.20,79258.7㎡,"생태문화센터, 탐방객안내센터, 반딧불이 체험관, 목재데크, 조류관찰대",소나무 보리수 등 64종 31800주 산국 부들 등 138종 192800본,매주 월요일은 휴관입니다 사전예약 후 입장하실 수 있습니다. 공원을 깨끗하게 이용합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 사전예약자에 한하여 주차장 이용이 가능하나 공간이 협소하여 가급적 대중교통을 이용해 주시기 바랍니다. 입장시간 09:00 ~ 18:00 (16시까지만 공원 및 주차장 입장 가능합니다.),강동구,서울특별시 강동구 천호대로 1291(길동생태공원) ,동부공원여가센 공원운영과,02-472-2770/ 02-489-2770,http://parks.seoul.go.kr/file/info/view.do?fIdx=1885,127.1547791,37.5403935,79258.7,"생태문화센터, 탐방객안내센터, 반딧불이 체험관, 목재데크, 조류관찰대 매주 월요일은 휴관입니다 사전예약 후 입장하실 수 있습니다. 공원을 깨끗하게 이용합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 사전예약자에 한하여 주차장 이용이 가능하나 공간이 협소하여 가급적 대중교통을 이용해 주시기 바랍니다. 입장시간 09:00 ~ 18:00 (16시까지만 공원 및 주차장 입장 가능합니다.) 소나무 보리수 등 64종 31800주 산국 부들 등 138종 192800본",False,False,True,False,False,False,False,False
서울대공원,1984.5.1,9132690m²,동물원 식물원 테마가든(장미원 어린이동물원 피크닉장) 치유숲 산림욕장 캠핑장 국립현대미술관 서울랜드 플레이월드 원더파크 코끼리열차 스카이리프트 등,"엘레강스야자, 용설란, 파리지옥, 네펜데스, 장미 등",일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ,과천시,경기도 과천시 대공원광장로 102,서울대공원 전략기획실,02-500-7033,http://parks.seoul.go.kr/file/info/view.do?fIdx=1886,127.0198465,37.4264494,9132690.0,"동물원 식물원 테마가든(장미원 어린이동물원 피크닉장) 치유숲 산림욕장 캠핑장 국립현대미술관 서울랜드 플레이월드 원더파크 코끼리열차 스카이리프트 등 일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다.  엘레강스야자, 용설란, 파리지옥, 네펜데스, 장미 등",False,False,False,False,False,False,False,False
서울숲,2005.6.18,480994㎡,문화예술시설: 바닥분수 거울연못 군마상 야외무대 가족마당무대 생태시설: 꽃사슴방사장 보행가교 바람의언덕 체험시설: 곤충식물원,수 목 : 소나무 섬잣나무 계수나무 외 95종 415795주 식물원 : 선인장 등 231종 7755본 초 화 : 개미취 구절초 갈대 외 8종 3250본,지하철 분당선 서울숲역 4번출구 도보로 약2분 2호선 뚝섬역 8번출구 도보로 약 15분거리 중앙선(1호선)응봉역 2번출구 도보로 약 30분 정도 거리  버스(G 지선 B 간선 R 광역 Y 순환) B 141 : 도봉산입구>미아삼거리역>서울숲 후문>도산공원>서울세관 B 145 : 북부수도사업소>답십리 촬영소>서울숲후문>갤러리아백화점>신사역 B 148 : 북부수도사업소>고대앞 삼거리>성동구청>서울숲 후문>압구정동 B 121 : 화계사>고대앞 삼거리>마장역>한양대 정문>서울숲 G 2014 : 자양4동 차고지>영동대교앞>서울숲>왕십리역>동대문역사문화공원 G 2412 : 성수동 차고지>서울숲>노륜산시장앞>잠실역>송파역>수서역 G 2413 : 성수동 차고지>서울숲>뚝섬역>영동대교>한국무역센터(삼성역) G 2224 : 성수동 차고지>서울숲>뚝섬역>성수역>건대역>동서울터미널 승용차 강변북로 서쪽(일산방면) 반포대교 → 1차선에서 ‘용비교?한남동 방향’램프진입 → 용비교 → 성수대교(북단)사거리에서 직진 → 무지개 터널 → 서울숲 주차장 강남방면 성수대교 건너 ‘성수대교(북단)사거리’에서 우회전 → 무지개터널 → 서울숲 주차장 상계동 방면 동부간선도로 → 군자교 → 강변북로 못미쳐 ‘성수대교ㆍ왕십리 방향’으로 진입 → 성수대교(북단)사거리에서 직진→ 무지개터널 → 서울숲 주차장 한강변 자전거도로 성산대교 ↔ 용비교 아래 자전거 도로 ↔ 서울숲 지하통로(성수대교하단) ↔ 광진교 중랑천자전거 도로(광진 성동 중랑 동대문 강북 도봉) ↔ 용비교 아래 자전거 도로 ↔ 서울숲의 지하통로 주차장서울숲주차장 주차요금안내 주차가능 수 : 172대 주차장 면적 : 5675㎡  ,성동구,서울특별시 성동구 뚝섬로 273 (성수동1가) ,동부여가센터 서울숲관리사무소,02-460-2905 ,http://parks.seoul.go.kr/file/info/view.do?fIdx=1887,127.0417982,37.5430717,480994.0,문화예술시설: 바닥분수 거울연못 군마상 야외무대 가족마당무대 생태시설: 꽃사슴방사장 보행가교 바람의언덕 체험시설: 곤충식물원 지하철 분당선 서울숲역 4번출구 도보로 약2분 2호선 뚝섬역 8번출구 도보로 약 15분거리 중앙선(1호선)응봉역 2번출구 도보로 약 30분 정도 거리  버스(G 지선 B 간선 R 광역 Y 순환) B 141 : 도봉산입구>미아삼거리역>서울숲 후문>도산공원>서울세관 B 145 : 북부수도사업소>답십리 촬영소>서울숲후문>갤러리아백화점>신사역 B 148 : 북부수도사업소>고대앞 삼거리>성동구청>서울숲 후문>압구정동 B 121 : 화계사>고대앞 삼거리>마장역>한양대 정문>서울숲 G 2014 : 자양4동 차고지>영동대교앞>서울숲>왕십리역>동대문역사문화공원 G 2412 : 성수동 차고지>서울숲>노륜산시장앞>잠실역>송파역>수서역 G 2413 : 성수동 차고지>서울숲>뚝섬역>영동대교>한국무역센터(삼성역) G 2224 : 성수동 차고지>서울숲>뚝섬역>성수역>건대역>동서울터미널 승용차 강변북로 서쪽(일산방면) 반포대교 → 1차선에서 ‘용비교?한남동 방향’램프진입 → 용비교 → 성수대교(북단)사거리에서 직진 → 무지개 터널 → 서울숲 주차장 강남방면 성수대교 건너 ‘성수대교(북단)사거리’에서 우회전 → 무지개터널 → 서울숲 주차장 상계동 방면 동부간선도로 → 군자교 → 강변북로 못미쳐 ‘성수대교ㆍ왕십리 방향’으로 진입 → 성수대교(북단)사거리에서 직진→ 무지개터널 → 서울숲 주차장 한강변 자전거도로 성산대교 ↔ 용비교 아래 자전거 도로 ↔ 서울숲 지하통로(성수대교하단) ↔ 광진교 중랑천자전거 도로(광진 성동 중랑 동대문 강북 도봉) ↔ 용비교 아래 자전거 도로 ↔ 서울숲의 지하통로 주차장서울숲주차장 주차요금안내 주차가능 수 : 172대 주차장 면적 : 5675㎡   수 목 : 소나무 섬잣나무 계수나무 외 95종 415795주 식물원 : 선인장 등 231종 7755본 초 화 : 개미취 구절초 갈대 외 8종 3250본,False,False,True,False,False,False,False,False
월드컵공원,2002.5.1,2284085㎡,평화의 공원 월드컵공원전시관(879㎡) 유니세프광장(2400㎡) 평화광장(5217㎡) 난지연못(24522㎡) 휴게소2개소 화장실 6개소 음수전 2개소 별자리광장(2800㎡) 잔디광장(15110㎡) 야외전시장(5145㎡) 모험놀이터(1133㎡) 피크닉장(멍석20개) 테니스장 2면 평화의정원 1개소 주차장(1242면) 에너지제로하우스 하늘공원 탐방객안내소(103㎡) 풍력발전기 5개소 전망대 20개소 화장실 5개소 음수전 4개소 하늘계단 하늘을 담는 그릇 초지(109567㎡) 난지천공원 인조잔디축구장 게이트볼장(1188㎡) 농구장(420㎡) 음수전 4개소 화장실 5개소 배드민턴장(328㎡) 다목적구장(3240㎡) 장애인놀이터(1591㎡) 어린이놀이터(706㎡) 매점 2개소 잔디광장(16193㎡) 오리연못(3600㎡) 주차장(난지천 196면 임시주차장 250면 장애인주차장 53면) 노을공원 관찰?쉼터데크 전망데크 바람의광장 누에생태체험장 노을캠핑장 파크골프장 노을계단 조각 작품 10 반딧불이 관찰원 커뮤니티센터 난지창작스튜디오 희망의숲 등 매립지 사면 달리기코스(난지순환길 5.8㎞) 수림대 사면녹화 기타시설 지역난방공사 자원회수시설 수소충전시설 수소발전시설 ,,일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다 ,마포구,서울특별시 마포구 하늘공원로 84(월드컵공원),서부공원여가센터,02-300-5501,http://parks.seoul.go.kr/file/info/view.do?fIdx=1888,126.878907,37.571805,2284085.0,평화의 공원 월드컵공원전시관(879㎡) 유니세프광장(2400㎡) 평화광장(5217㎡) 난지연못(24522㎡) 휴게소2개소 화장실 6개소 음수전 2개소 별자리광장(2800㎡) 잔디광장(15110㎡) 야외전시장(5145㎡) 모험놀이터(1133㎡) 피크닉장(멍석20개) 테니스장 2면 평화의정원 1개소 주차장(1242면) 에너지제로하우스 하늘공원 탐방객안내소(103㎡) 풍력발전기 5개소 전망대 20개소 화장실 5개소 음수전 4개소 하늘계단 하늘을 담는 그릇 초지(109567㎡) 난지천공원 인조잔디축구장 게이트볼장(1188㎡) 농구장(420㎡) 음수전 4개소 화장실 5개소 배드민턴장(328㎡) 다목적구장(3240㎡) 장애인놀이터(1591㎡) 어린이놀이터(706㎡) 매점 2개소 잔디광장(16193㎡) 오리연못(3600㎡) 주차장(난지천 196면 임시주차장 250면 장애인주차장 53면) 노을공원 관찰?쉼터데크 전망데크 바람의광장 누에생태체험장 노을캠핑장 파크골프장 노을계단 조각 작품 10 반딧불이 관찰원 커뮤니티센터 난지창작스튜디오 희망의숲 등 매립지 사면 달리기코스(난지순환길 5.8㎞) 수림대 사면녹화 기타시설 지역난방공사 자원회수시설 수소충전시설 수소발전시설  일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다  ,False,False,True,True,True,True,True,False
광화문시민열린마당,1999.1.1,8948.1㎡,조 경 시 설 : 육조상징벽 6개소 전통담장 4개소 열주 22조 화계6개소 편 익 시 설 : 화강석의자 35조 관 리 시 설 : 광장등 4본 정원등 23본 투사등 28본 열주내장등 22본 기 반 시 설 : 열린마당 3280㎡ 육조마당 920㎡ 휴게마당 1670㎡ 녹지대 3078㎡ 대형전용 주차장 : 9면 ,수 목 : 소나무 느티나무 배롱나무등 27종 5535주 초 화 : 맥문동 꽃창포 수련등 3692본 ,일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ,종로구,서울특별시 종로구 세종로 76-2,종로구청 도시녹지과,02-2148-2843,http://parks.seoul.go.kr/file/info/view.do?fIdx=1890,126.9780227,37.5750449,8948.1,조 경 시 설 : 육조상징벽 6개소 전통담장 4개소 열주 22조 화계6개소 편 익 시 설 : 화강석의자 35조 관 리 시 설 : 광장등 4본 정원등 23본 투사등 28본 열주내장등 22본 기 반 시 설 : 열린마당 3280㎡ 육조마당 920㎡ 휴게마당 1670㎡ 녹지대 3078㎡ 대형전용 주차장 : 9면  일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다.  수 목 : 소나무 느티나무 배롱나무등 27종 5535주 초 화 : 맥문동 꽃창포 수련등 3692본 ,False,False,True,False,False,False,False,False
진관근린공원(구파발폭포),1997.10.1,휴양 및 편익시설 : 평의자 7개 화장실 23.18㎡ 조경시설 - 은하폭포(높이 12m × 폭10m 발원지로부터 17.3m 폭 1.5 ~ 10m 수조 255㎡ 담수량 140t) - 산성폭포(높이 5m×폭 12m 수조 90㎡ 담수량 75t)- 명속의 벽 1개소(높이 5.4m) 교양시설 : 야외공연무대 102㎡ 관리시설 : 관리실 8.55㎡ 전기실 51.03㎡ 기계실 83.36㎡ 안내판 1개 공원 등 18본 휴양시설 : 벤취 12개 ,폭포 야외무대,수 목 : 소나무 잣나무 주목 느티나무 은행나무 등 29종 6515주 초 화 : 구절초 참나리 비비추 돌나물 벌개미취 등 7종 4358본 ,일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ,은평구,서울특별시 은평구 진관동 393,은평구청 공원녹지과,02-351-8004,http://parks.seoul.go.kr/file/info/view.do?fIdx=1891,126.9192155,37.6370244,7.0,폭포 야외무대 일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다.  수 목 : 소나무 잣나무 주목 느티나무 은행나무 등 29종 6515주 초 화 : 구절초 참나리 비비추 돌나물 벌개미취 등 7종 4358본 ,False,False,False,False,False,False,False,False
중마루근린공원,1997.11.25 ,6456㎥,기반시설 : 광장 200㎡ 산책 등산로 0.50㎞ 편익시설 : 광장  의자 휴지통 음수대 공원등 등 편익시설 : 파고라 연못 1개소(150㎡) 그늘시렁 등 휴양시설 : 정자,수 목 : 소나무 느티나무 외 43종 3580주 초 화 : 비비추 옥잠화외 25종 11580본,일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ,영등포구,서울특별시 영등포구 영등포동2가 222,영등포구청 정원도시과,02-2670-3760,http://parks.seoul.go.kr/file/info/view.do?fIdx=1893,126.9112668,37.519832,6456.0,기반시설 : 광장 200㎡ 산책 등산로 0.50㎞ 편익시설 : 광장  의자 휴지통 음수대 공원등 등 편익시설 : 파고라 연못 1개소(150㎡) 그늘시렁 등 휴양시설 : 정자 일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다.  수 목 : 소나무 느티나무 외 43종 3580주 초 화 : 비비추 옥잠화외 25종 11580본,False,False,False,True,False,False,False,True
응봉공원 (대현산배수지공원),2002.10.31. ,75570㎡ 배수지 시설용량 : 201.000㎥ 송수 펌프용량 : 직송급수계통 30000㎥/일 금호배수지계통 16400㎥/일 ,조경시설 : 파고라 외 222소  운동시설 : 잔디광장 테니스장 2면 게이트볼장 배드민턴장 6면 다목적경기장 등  편익시설 : 음수대 화장실 2동 등  기타시설 : 관리동 등 ,아까시나무 소나무 살구나무 개나리,일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ,성동구,서울특별시 성동구 금호동1가 산1-72,"동부공원여가센터 서울숲관리사무소 (성동구청, 중구청 별도 관리)",02-2293-7646,http://parks.seoul.go.kr/file/info/view.do?fIdx=1894,127.0217653,37.5572281,75570.0,조경시설 : 파고라 외 222소  운동시설 : 잔디광장 테니스장 2면 게이트볼장 배드민턴장 6면 다목적경기장 등  편익시설 : 음수대 화장실 2동 등  기타시설 : 관리동 등  일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다.  아까시나무 소나무 살구나무 개나리,False,False,False,False,True,False,True,True
매화근린공원,1998.6.18 ,1980.4㎡   ,상징조형물 팔각정자 사각파고라 음수전 ,소나무 느티나무 등 29종 9912주  ,일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ,강서구,서울특별시 강서구 등촌동 630-14,강서구청 공원녹지과,02-2600-4181,http://parks.seoul.go.kr/file/info/view.do?fIdx=1895,126.86115,37.5575833,1980.4,상징조형물 팔각정자 사각파고라 음수전  일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다.  소나무 느티나무 등 29종 9912주  ,False,False,False,False,False,False,False,False
