duplicate_group,kept_index,kept_id,kept_label,removed_index,removed_id,removed_label
1,0,생활서비스시설_공원_0033,강변공원(망원지구),1859,생활서비스시설_공원_1858,강변공원(망원지구)
2,1,생활서비스시설_공원_0034,강변공원((광나루지구)),1806,생활서비스시설_공원_1860,강변공원((광나루지구))
3,2,생활서비스시설_공원_0036,강변공원(잠실지구),1805,생활서비스시설_공원_1859,강변공원(잠실지구)
4,3,생활서비스시설_공원_0037,기타공원(월드컵),1799,생활서비스시설_공원_1852,기타공원(월드컵)
5,4,생활서비스시설_공원_0038,근린공원(월드컵),1801,생활서비스시설_공원_1854,근린공원(월드컵)
6,5,생활서비스시설_공원_0040,근린공원(나들이공원),1870,생활서비스시설_공원_1886,근린공원(나들이공원)
7,6,생활서비스시설_공원_0041,근린공원(서울대공원),1798,생활서비스시설_공원_1851,근린공원(서울대공원)
8,8,생활서비스시설_공원_0043,기타공원(서울숲),1789,생활서비스시설_공원_1877,기타공원(서울숲)
9,10,생활서비스시설_공원_0007,근린공원(시민의숲),1864,생활서비스시설_공원_1874,근린공원(시민의숲)
10,11,생활서비스시설_공원_0008,근린공원(여의도),1800,생활서비스시설_공원_1853,근린공원(여의도)
11,12,생활서비스시설_공원_0010,광장(광화문열린마당),1793,생활서비스시설_공원_1885,광장(광화문열린마당)
12,13,생활서비스시설_공원_0011,근린공원(낙산),1868,생활서비스시설_공원_1882,근린공원(낙산)
13,14,생활서비스시설_공원_0012,도시자연공원(남산),1867,생활서비스시설_공원_1881,도시자연공원(남산)
14,15,생활서비스시설_공원_0015,강변공원(잠원지구),1860,생활서비스시설_공원_1866,강변공원(잠원지구)
15,16,생활서비스시설_공원_0016,도시자연공원((일자산)<길동생태공원>),1862,생활서비스시설_공원_1871,도시자연공원((일자산)<길동생태공원>)
16,18,생활서비스시설_공원_0020,근린공원(간데메),1869,생활서비스시설_공원_1884,근린공원(간데메)
17,19,생활서비스시설_공원_0021,근린공원(천호),1863,생활서비스시설_공원_1873,근린공원(천호)
18,20,생활서비스시설_공원_0029,강변공원(여의도지구),1861,생활서비스시설_공원_1867,강변공원(여의도지구)
19,21,생활서비스시설_공원_0035,근린공원(서울숲),1788,생활서비스시설_공원_1875,근린공원(서울숲)
20,22,생활서비스시설_공원_0039,근린공원(훈련원),1866,생활서비스시설_공원_1880,근린공원(훈련원)
21,55,생활서비스시설_공원_0001,강변공원(강서지구),1885,생활서비스시설_공원_1869,강변공원(강서지구)
22,56,생활서비스시설_공원_0003,도시자연공원((청계산)<서울대공원>),1797,생활서비스시설_공원_1850,도시자연공원((청계산)<서울대공원>)
23,57,생활서비스시설_공원_0004,기타공원(용산공원),1792,생활서비스시설_공원_1883,기타공원(용산공원)
24,58,생활서비스시설_공원_0005,강변공원(광나루지구),1883,생활서비스시설_공원_1865,강변공원(광나루지구)
25,59,생활서비스시설_공원_0006,강변공원(난지지구),1886,생활서비스시설_공원_1870,강변공원(난지지구)
26,60,생활서비스시설_공원_0009,강변공원((뚝섬지구)),1884,생활서비스시설_공원_1868,강변공원((뚝섬지구))
27,63,생활서비스시설_공원_0017,근린공원(영등포),1887,생활서비스시설_공원_1872,근린공원(영등포)
28,84,생활서비스시설_공원_0022,근린공원((응봉)),1790,생활서비스시설_공원_1878,근린공원((응봉))
29,85,생활서비스시설_공원_0023,근린공원(선유도공원),1880,생활서비스시설_공원_1862,근린공원(선유도공원)
30,87,생활서비스시설_공원_0025,근린공원(푸른수목원),1804,생활서비스시설_공원_1857,근린공원(푸른수목원)
31,88,생활서비스시설_공원_0026,근린공원(독립),1803,생활서비스시설_공원_1856,근린공원(독립)
32,90,생활서비스시설_공원_0028,강변공원(이촌지구),1881,생활서비스시설_공원_1863,강변공원(이촌지구)
33,91,생활서비스시설_공원_0030,강변공원(양화지구),1882,생활서비스시설_공원_1864,강변공원(양화지구)
34,92,생활서비스시설_공원_0031,강변공원(뚝섬지구),1879,생활서비스시설_공원_1861,강변공원(뚝섬지구)
35,166,생활서비스시설_공원_0018,광장(서울광장),1794,생활서비스시설_공원_1887,광장(서울광장)
36,1686,생활서비스시설_공원_1716,기타공원(올림픽공원),1795,생활서비스시설_공원_1888,기타공원(올림픽공원)
